Day,Market Participant,Equity Option Contracts,Equity Option Trade Count,Equity Option Notional,Index/Other Option Contracts,Index/Other Option Trade Count,Index/Other Option Notional,Total Option Contracts,Total Trade Count,Total Option Notional
2025-05-22,Members Exchange (U),1794727,251898,426128134.800000,0,0,0.000000,1794727,251898,426128134.800000
2025-05-22,Cboe C2 Options Exchange (W),1426886,177320,291847807.000000,11051,3118,26310171.000000,1437937,180438,318157978.000000
2025-05-22,Nasdaq PHLX (X),5000818,428035,3952640636.800000,46610,15618,233284637.000000,5047428,443653,4185925273.800000
2025-05-22,Cboe BZX Options Exchange (Z),1943425,266566,564770287.000000,1394,483,6019039.000000,1944819,267049,570789326.000000
2025-05-21,NYSE American Options (A),2700420,308482,648677974.000000,0,0,0.000000,2700420,308482,648677974.000000
2025-05-21,BOX Options (B),3785799,420152,1664998810.000000,0,0,0.000000,3785799,420152,1664998810.000000
2025-05-21,Cboe Options Exchange (C),6032059,978310,1794800461.000000,5111234,1190645,9743966721.000000,11143293,2168955,11538767182.000000
2025-05-21,MIAX Emerald (D),2316427,381015,680998902.000000,0,0,0.000000,2316427,381015,680998902.000000
2025-05-21,Cboe EDGX Options Exchange (E),3297304,528837,809716580.000000,0,0,0.000000,3297304,528837,809716580.000000
2025-05-21,Nasdaq GEMX (H),2484877,315919,599782678.000000,125,91,4618135.000000,2485002,316010,604400813.000000
2025-05-21,Nasdaq ISE (I),3389601,503178,1263489728.000000,41990,15653,194086771.000000,3431591,518831,1457576499.000000
2025-05-21,Nasdaq MRX (J),1711306,239245,437278730.000000,0,0,0.000000,1711306,239245,437278730.000000
2025-05-21,MIAX Options Exchange (M),5721036,850825,1532401883.000000,0,0,0.000000,5721036,850825,1532401883.000000
2025-05-21,NYSE Arca Options (N),5982473,737777,2063376090.000000,0,0,0.000000,5982473,737777,2063376090.000000
2025-05-21,MIAX Pearl (P),1187422,167202,280953745.000000,0,0,0.000000,1187422,167202,280953745.000000
